epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.54,2.97607,5.82045,2.2577,0,0,0,0,4.31065,5.97372,3.4713,2.94e-05,2.94e-05,2.94e-05
2,393.426,2.47452,5.65436,1.86843,0,0,0,0,4.13848,6.01476,3.44972,5.90767e-05,5.90767e-05,5.90767e-05
3,584.394,2.02329,5.35075,1.49235,0,0,0,0,2.69748,5.84217,2.28902,8.75309e-05,8.75309e-05,8.75309e-05
4,780.352,1.87093,4.99699,1.31719,0.0278,0.02681,0.0167,0.01045,2.05418,5.42232,1.68298,0.000114763,0.000114763,0.000114763
5,968.043,1.71985,4.59461,1.2114,0.00912,0.16643,0.01525,0.00968,1.74947,4.83973,1.35231,0.000135358,0.000135358,0.000135358
6,1157.43,1.68967,4.30748,1.19706,0.40055,0.09614,0.02032,0.01251,1.63769,4.31682,1.19266,0.000132447,0.000132447,0.000132447
7,1348.66,1.63045,4.06219,1.16523,0.46765,0.0877,0.02608,0.01685,1.52095,3.92847,1.12192,0.000129536,0.000129536,0.000129536
8,1540.86,1.62718,3.89364,1.17291,0.48931,0.11634,0.04079,0.027,1.43086,3.655,1.09525,0.000126626,0.000126626,0.000126626
9,1732.7,1.58205,3.71528,1.15535,0.48721,0.10509,0.0523,0.03465,1.38853,3.50241,1.07813,0.000123715,0.000123715,0.000123715
10,1924.3,1.57116,3.62529,1.13513,0.53321,0.09686,0.0633,0.04285,1.36037,3.38503,1.06871,0.000120805,0.000120805,0.000120805
11,2116.32,1.52545,3.39559,1.13426,0.56189,0.10147,0.07475,0.05143,1.36069,3.26991,1.07549,0.000117894,0.000117894,0.000117894
12,2309.88,1.53488,3.42879,1.14058,0.509,0.11807,0.08806,0.06043,1.34813,3.13621,1.07057,0.000114983,0.000114983,0.000114983
13,2500.19,1.5065,3.33864,1.12926,0.54606,0.11868,0.0985,0.06614,1.34368,3.05701,1.06976,0.000112073,0.000112073,0.000112073
14,2693,1.47801,3.182,1.11132,0.47276,0.14473,0.10774,0.07326,1.31935,2.96884,1.06157,0.000109162,0.000109162,0.000109162
15,2885.26,1.44384,3.0898,1.11011,0.52163,0.13872,0.12472,0.08479,1.30739,2.86718,1.05509,0.000106252,0.000106252,0.000106252
16,3084.73,1.39616,2.96365,1.08621,0.54424,0.15248,0.14998,0.10222,1.29273,2.75182,1.05321,0.000103341,0.000103341,0.000103341
17,3279.03,1.41697,2.9134,1.09715,0.50603,0.17503,0.15142,0.10273,1.29396,2.69946,1.062,0.00010043,0.00010043,0.00010043
18,3477.88,1.43471,2.87321,1.11378,0.5769,0.16771,0.16201,0.11067,1.28635,2.64046,1.05476,9.75198e-05,9.75198e-05,9.75198e-05
19,3680.84,1.38993,2.83027,1.08998,0.63182,0.16034,0.17701,0.12113,1.25784,2.54499,1.04546,9.46092e-05,9.46092e-05,9.46092e-05
20,3874.84,1.39797,2.70454,1.10057,0.55548,0.17864,0.19713,0.13268,1.27569,2.49231,1.05144,9.16986e-05,9.16986e-05,9.16986e-05
21,4073.38,1.41073,2.74403,1.10615,0.69004,0.18364,0.20714,0.14154,1.25735,2.41183,1.04742,8.8788e-05,8.8788e-05,8.8788e-05
22,4274.58,1.35645,2.61982,1.08282,0.67776,0.20746,0.22509,0.15528,1.24458,2.38854,1.05221,8.58774e-05,8.58774e-05,8.58774e-05
23,4473.7,1.33943,2.58496,1.0777,0.63652,0.21517,0.23733,0.16251,1.24776,2.37416,1.04588,8.29668e-05,8.29668e-05,8.29668e-05
24,4671.1,1.41082,2.56548,1.09524,0.60069,0.24374,0.25316,0.17235,1.23998,2.25086,1.03817,8.00562e-05,8.00562e-05,8.00562e-05
25,4876.76,1.34306,2.54385,1.09137,0.59894,0.27212,0.27146,0.18679,1.25306,2.22609,1.05332,7.71456e-05,7.71456e-05,7.71456e-05
26,5076.7,1.34775,2.47787,1.07806,0.63329,0.26319,0.28623,0.19709,1.23368,2.20066,1.04437,7.4235e-05,7.4235e-05,7.4235e-05
27,5278.73,1.35685,2.39072,1.07096,0.74237,0.25118,0.29288,0.20257,1.23205,2.18498,1.04377,7.13244e-05,7.13244e-05,7.13244e-05
28,5481.6,1.34759,2.40264,1.07873,0.71739,0.26298,0.30742,0.21485,1.21403,2.13317,1.04022,6.84138e-05,6.84138e-05,6.84138e-05
29,5676.03,1.36574,2.40082,1.09712,0.70075,0.29796,0.33151,0.23017,1.23475,2.10605,1.0401,6.55032e-05,6.55032e-05,6.55032e-05
30,5874.33,1.34984,2.34977,1.07845,0.62733,0.31312,0.32927,0.23073,1.20274,2.02335,1.02803,6.25926e-05,6.25926e-05,6.25926e-05
31,6070.03,1.31665,2.29327,1.06233,0.67276,0.28642,0.3392,0.24007,1.21311,2.00303,1.02748,5.9682e-05,5.9682e-05,5.9682e-05
32,6266.99,1.3392,2.31866,1.07716,0.64374,0.31168,0.33813,0.23784,1.20041,1.97464,1.02897,5.67714e-05,5.67714e-05,5.67714e-05
33,6464.72,1.36367,2.25167,1.07606,0.68191,0.3079,0.35198,0.24707,1.19836,1.97114,1.03187,5.38608e-05,5.38608e-05,5.38608e-05
