epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,43068.4,0.66283,0.87552,0.88209,0.82637,0.67458,0.75252,0.65293,0.50394,0.68462,0.85659,3.21198e-05,3.21198e-05,3.21198e-05
41,44271.4,0.61693,0.78324,0.87465,0.81124,0.66967,0.74152,0.64176,0.50658,0.69431,0.85761,2.9328e-05,2.9328e-05,2.9328e-05
42,45487.3,0.60916,0.76391,0.87079,0.803,0.68525,0.74843,0.64746,0.5021,0.6791,0.85662,2.65362e-05,2.65362e-05,2.65362e-05
43,46711.1,0.60694,0.76003,0.87154,0.81974,0.68052,0.75837,0.65544,0.50581,0.66983,0.85585,2.37444e-05,2.37444e-05,2.37444e-05
44,47959,0.6056,0.75524,0.86988,0.83229,0.67526,0.75588,0.65658,0.4989,0.66562,0.85598,2.09526e-05,2.09526e-05,2.09526e-05
45,49229.4,0.59541,0.73617,0.86841,0.83185,0.68116,0.76155,0.66037,0.49719,0.6621,0.85631,1.81608e-05,1.81608e-05,1.81608e-05
46,50624.2,0.60254,0.73948,0.86807,0.82951,0.68657,0.76394,0.664,0.50148,0.66094,0.85626,1.5369e-05,1.5369e-05,1.5369e-05
47,51732.2,0.59439,0.72851,0.86869,0.82143,0.68134,0.76575,0.66508,0.4974,0.6583,0.85634,1.25772e-05,1.25772e-05,1.25772e-05
48,52775.7,0.59719,0.73702,0.87105,0.83564,0.67312,0.76028,0.66008,0.49821,0.65974,0.85497,9.7854e-06,9.7854e-06,9.7854e-06
49,53846,0.59626,0.73643,0.86785,0.82685,0.68195,0.76737,0.66636,0.49592,0.65759,0.85578,6.9936e-06,6.9936e-06,6.9936e-06
50,54925.1,0.58949,0.72586,0.86597,0.84322,0.67506,0.76567,0.6664,0.49526,0.65775,0.85544,4.2018e-06,4.2018e-06,4.2018e-06
