epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.335,2.54545,5.67675,2.01075,0,0,0,0,3.25139,6.00145,2.92307,4.81967e-05,4.81967e-05,4.81967e-05
2,1099.23,1.56452,4.65432,1.23222,0.60063,0.07429,0.02759,0.0191,1.46506,4.41637,1.24352,9.52722e-05,9.52722e-05,9.52722e-05
3,1694.65,1.29767,3.57315,1.07435,0.68445,0.12198,0.09551,0.07406,1.04213,3.12045,1.01443,0.000140407,0.000140407,0.000140407
4,2270.36,1.17012,2.9306,1.04694,0.78677,0.14367,0.17105,0.13795,0.93935,2.60902,0.98475,0.000138268,0.000138268,0.000138268
5,2860.68,1.08472,2.45425,1.01871,0.7562,0.1991,0.22636,0.18346,0.90326,2.24646,0.97827,0.000135358,0.000135358,0.000135358
6,3451.84,1.02888,2.14506,0.99375,0.87549,0.22739,0.27189,0.22571,0.82432,1.88707,0.95671,0.000132447,0.000132447,0.000132447
7,4049.46,1.00801,1.9491,0.99584,0.83528,0.28843,0.31241,0.26031,0.78798,1.64221,0.94273,0.000129536,0.000129536,0.000129536
8,4621,0.96825,1.79698,0.97395,0.87013,0.29462,0.32996,0.27394,0.78397,1.54022,0.94336,0.000126626,0.000126626,0.000126626
9,5205.94,0.94625,1.68134,0.97599,0.9056,0.31262,0.35309,0.29505,0.73841,1.45687,0.93015,0.000123715,0.000123715,0.000123715
10,5795.94,0.89978,1.56369,0.96561,0.86877,0.31881,0.35956,0.29824,0.74086,1.33165,0.93082,0.000120805,0.000120805,0.000120805
11,6382.89,0.89649,1.51351,0.96134,0.90906,0.32057,0.38428,0.31741,0.72665,1.31001,0.92704,0.000117894,0.000117894,0.000117894
12,6985.71,0.88776,1.45174,0.96182,0.91126,0.33538,0.4048,0.33348,0.71445,1.24577,0.91904,0.000114983,0.000114983,0.000114983
13,7590.4,0.8472,1.37578,0.94561,0.83769,0.34547,0.41438,0.33606,0.71704,1.27665,0.92122,0.000112073,0.000112073,0.000112073
14,8191.89,0.86399,1.3498,0.9456,0.90109,0.33642,0.42239,0.34021,0.72454,1.16217,0.92626,0.000109162,0.000109162,0.000109162
15,8795.71,0.86575,1.33618,0.94743,0.8867,0.34276,0.42128,0.34114,0.70314,1.13561,0.9188,0.000106252,0.000106252,0.000106252
16,9391.71,0.85277,1.29296,0.94298,0.85482,0.35606,0.4339,0.35308,0.70261,1.14163,0.91781,0.000103341,0.000103341,0.000103341
17,9991.32,0.84031,1.25319,0.93718,0.91287,0.35766,0.44813,0.3606,0.70408,1.10553,0.92049,0.00010043,0.00010043,0.00010043
18,10590.2,0.82358,1.21707,0.93331,0.89861,0.35026,0.45035,0.3621,0.68293,1.07476,0.90771,9.75198e-05,9.75198e-05,9.75198e-05
19,11210.4,0.80526,1.16223,0.92722,0.89873,0.35001,0.4574,0.36344,0.69326,1.05106,0.91241,9.46092e-05,9.46092e-05,9.46092e-05
20,11817.6,0.80396,1.15746,0.93123,0.89034,0.35923,0.44647,0.36314,0.68237,1.06746,0.9072,9.16986e-05,9.16986e-05,9.16986e-05
21,12432,0.81929,1.1768,0.93712,0.85949,0.36556,0.4783,0.38298,0.6874,1.07521,0.90947,8.8788e-05,8.8788e-05,8.8788e-05
22,13057.4,0.77961,1.10338,0.92186,0.89548,0.34398,0.47582,0.37437,0.70124,1.04058,0.91379,8.58774e-05,8.58774e-05,8.58774e-05
