epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1091.29,1.43512,5.16892,1.15472,0.02163,0.07478,0.01954,0.0158,0.95349,4.65175,0.88976,5.00333e-05,5.00333e-05,5.00333e-05
2,2763.49,1.13146,3.85154,0.97911,0.50352,0.10157,0.05855,0.04558,0.90627,3.17994,0.92825,9.87061e-05,9.87061e-05,9.87061e-05
3,4400.33,1.057,3.09948,0.97003,0.68245,0.15165,0.15582,0.12448,0.83506,2.60356,0.91724,0.000145373,0.000145373,0.000145373
4,6124.91,0.99939,2.61945,0.96416,0.67877,0.20202,0.23761,0.19067,0.78494,2.23829,0.91211,0.000142971,0.000142971,0.000142971
5,7958.06,0.95412,2.31245,0.95953,0.54585,0.27147,0.29379,0.23844,0.75176,1.96577,0.90449,0.000139962,0.000139962,0.000139962
6,9784.59,0.92051,2.09,0.94733,0.73326,0.29784,0.34397,0.27994,0.74383,1.82048,0.90037,0.000136952,0.000136952,0.000136952
7,11756.8,0.90752,1.95896,0.9432,0.62794,0.34173,0.38601,0.31398,0.73708,1.65283,0.90048,0.000133942,0.000133942,0.000133942
8,13505.9,0.88548,1.79874,0.94141,0.73846,0.35421,0.42334,0.34579,0.70545,1.54952,0.89969,0.000130933,0.000130933,0.000130933
9,14727.8,0.87632,1.74436,0.93218,0.64524,0.4306,0.45732,0.37666,0.69597,1.45228,0.89192,0.000127923,0.000127923,0.000127923
10,15920.4,0.85961,1.64121,0.93201,0.70959,0.4216,0.48574,0.39918,0.69899,1.37742,0.90297,0.000124914,0.000124914,0.000124914
11,17045,0.85609,1.61207,0.93531,0.78583,0.42693,0.52877,0.43921,0.68467,1.31446,0.897,0.000121904,0.000121904,0.000121904
12,18021.6,0.84896,1.52411,0.92616,0.73425,0.47857,0.53916,0.44852,0.67164,1.25174,0.8898,0.000118894,0.000118894,0.000118894
13,18989.6,0.8427,1.52082,0.92242,0.80083,0.4815,0.56466,0.46815,0.69121,1.24821,0.89246,0.000115885,0.000115885,0.000115885
14,19964.2,0.83665,1.45542,0.92087,0.68405,0.54003,0.57925,0.48278,0.66708,1.20768,0.8896,0.000112875,0.000112875,0.000112875
15,20918.2,0.81922,1.41435,0.92087,0.68563,0.53644,0.59732,0.49649,0.67388,1.15827,0.89345,0.000109866,0.000109866,0.000109866
16,21880.8,0.8282,1.41318,0.92784,0.75523,0.50343,0.60534,0.50305,0.67946,1.17606,0.89357,0.000106856,0.000106856,0.000106856
17,22850.5,0.80462,1.31994,0.91681,0.67132,0.5892,0.62241,0.52447,0.65468,1.10258,0.88767,0.000103846,0.000103846,0.000103846
18,23835.8,0.82015,1.3506,0.91504,0.76343,0.53063,0.623,0.51764,0.66968,1.10582,0.88945,0.000100837,0.000100837,0.000100837
19,24813.9,0.79569,1.29094,0.91261,0.83659,0.49288,0.62966,0.52903,0.66324,1.09718,0.88771,9.78272e-05,9.78272e-05,9.78272e-05
