epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.028,1.54863,5.37555,1.23394,0,0,0,0,1.05684,5.11977,0.94694,5.03648e-05,5.03648e-05,5.03648e-05
2,816.668,1.22063,4.42882,1.00727,0.46799,0.09813,0.03442,0.02529,1.0371,3.84772,0.93655,9.96845e-05,9.96845e-05,9.96845e-05
3,1232.63,1.16812,3.65281,0.99398,0.42948,0.11215,0.08024,0.05868,1.03503,3.23029,0.97036,0.000146971,0.000146971,0.000146971
4,1647.54,1.15418,3.185,0.999,0.5669,0.1378,0.13162,0.09872,0.95261,2.855,0.96244,0.000144852,0.000144852,0.000144852
5,2101.35,1.07418,2.79866,0.97713,0.6507,0.17757,0.19131,0.14683,0.91767,2.56195,0.9575,0.000141803,0.000141803,0.000141803
6,2577.71,1.05828,2.576,0.9821,0.66069,0.21485,0.24711,0.19261,0.91184,2.31842,0.96235,0.000138754,0.000138754,0.000138754
7,3096.34,1.04712,2.38621,0.97881,0.53855,0.28999,0.29092,0.23102,0.86924,2.09088,0.93759,0.000135705,0.000135705,0.000135705
8,3640.76,1.01663,2.18449,0.97338,0.67234,0.28826,0.32111,0.25551,0.87436,1.95882,0.95202,0.000132656,0.000132656,0.000132656
9,4156.39,1.03412,2.14083,0.97195,0.58093,0.3526,0.36962,0.29628,0.83946,1.83013,0.94109,0.000129606,0.000129606,0.000129606
10,4728.62,0.98694,1.98561,0.9658,0.61355,0.35729,0.40669,0.32706,0.837,1.74753,0.9376,0.000126557,0.000126557,0.000126557
11,5219.34,0.99069,1.91775,0.95614,0.6225,0.40997,0.43331,0.35243,0.80923,1.64432,0.93141,0.000123508,0.000123508,0.000123508
12,5712.7,0.96613,1.81855,0.95636,0.683,0.39669,0.46008,0.37378,0.81565,1.60644,0.93088,0.000120459,0.000120459,0.000120459
13,6166.5,0.954,1.76926,0.9471,0.71336,0.41325,0.47043,0.38241,0.80235,1.52108,0.92199,0.00011741,0.00011741,0.00011741
14,6607.14,0.97471,1.72404,0.95372,0.70688,0.45735,0.4955,0.39856,0.82623,1.52445,0.93387,0.00011436,0.00011436,0.00011436
15,7040.19,0.95533,1.6494,0.95815,0.73112,0.44955,0.50679,0.41104,0.79488,1.46549,0.92803,0.000111311,0.000111311,0.000111311
16,7490.83,0.93891,1.61879,0.95541,0.73878,0.47889,0.54627,0.44102,0.79405,1.41993,0.92674,0.000108262,0.000108262,0.000108262
17,7950.73,0.93709,1.6063,0.94601,0.76726,0.46958,0.54524,0.438,0.79406,1.36227,0.92575,0.000105213,0.000105213,0.000105213
18,8408.3,0.93378,1.56997,0.95032,0.71021,0.5243,0.5502,0.44466,0.78197,1.33754,0.92271,0.000102164,0.000102164,0.000102164
19,8876.37,0.90582,1.48945,0.93838,0.75649,0.51751,0.5623,0.45506,0.7859,1.31982,0.93013,9.91144e-05,9.91144e-05,9.91144e-05
20,9329.8,0.93122,1.50826,0.94961,0.72652,0.5521,0.5922,0.4741,0.77343,1.26134,0.92095,9.60652e-05,9.60652e-05,9.60652e-05
21,9810.49,0.93403,1.50517,0.94761,0.70457,0.53741,0.59016,0.47444,0.76813,1.23379,0.91891,9.3016e-05,9.3016e-05,9.3016e-05
22,10293.7,0.9223,1.44972,0.94382,0.76228,0.55515,0.60949,0.48879,0.76884,1.23834,0.92254,8.99668e-05,8.99668e-05,8.99668e-05
23,10787.6,0.90561,1.4042,0.94037,0.7716,0.53703,0.61105,0.49147,0.76195,1.20008,0.92083,8.69176e-05,8.69176e-05,8.69176e-05
24,11297.1,0.90562,1.39175,0.94996,0.76932,0.57586,0.63018,0.50079,0.77233,1.2054,0.91925,8.38684e-05,8.38684e-05,8.38684e-05
25,11805.3,0.91012,1.40023,0.93423,0.79255,0.55139,0.62002,0.49425,0.77307,1.1769,0.92302,8.08192e-05,8.08192e-05,8.08192e-05
26,12301.5,0.90194,1.34683,0.94143,0.74764,0.58576,0.63203,0.50677,0.76131,1.15784,0.91731,7.777e-05,7.777e-05,7.777e-05
27,12795.6,0.90376,1.33234,0.93788,0.80401,0.57444,0.63499,0.50918,0.75933,1.14314,0.92103,7.47208e-05,7.47208e-05,7.47208e-05
28,13243.8,0.9002,1.33696,0.93916,0.76574,0.5937,0.64045,0.51112,0.76064,1.13593,0.91696,7.16716e-05,7.16716e-05,7.16716e-05
29,13696.3,0.87811,1.29431,0.9334,0.78576,0.58485,0.63796,0.50839,0.76066,1.14641,0.91608,6.86224e-05,6.86224e-05,6.86224e-05
30,14147.5,0.88341,1.292,0.9362,0.81819,0.58442,0.65598,0.52658,0.75532,1.13228,0.91666,6.55732e-05,6.55732e-05,6.55732e-05
31,14600.6,0.89134,1.30163,0.93665,0.78951,0.57975,0.65116,0.51638,0.76629,1.10592,0.92578,6.2524e-05,6.2524e-05,6.2524e-05
32,15068.5,0.87708,1.27067,0.93483,0.83678,0.58328,0.66463,0.53166,0.74907,1.07939,0.91144,5.94748e-05,5.94748e-05,5.94748e-05
33,15520,0.89819,1.28575,0.93708,0.83777,0.56061,0.65739,0.5281,0.7493,1.11192,0.91339,5.64256e-05,5.64256e-05,5.64256e-05
34,16007.4,0.88911,1.25588,0.93346,0.83138,0.59642,0.6669,0.53314,0.75404,1.08123,0.92032,5.33764e-05,5.33764e-05,5.33764e-05
35,16495.6,0.87688,1.23767,0.93363,0.82731,0.58628,0.66782,0.52961,0.7475,1.0584,0.91513,5.03272e-05,5.03272e-05,5.03272e-05
36,16994.7,0.85305,1.20611,0.92559,0.88208,0.56897,0.67948,0.54139,0.74825,1.05961,0.91647,4.7278e-05,4.7278e-05,4.7278e-05
37,17419.4,0.86585,1.22201,0.92878,0.824,0.58306,0.67422,0.53981,0.74693,1.04742,0.91402,4.42288e-05,4.42288e-05,4.42288e-05
38,17892.3,0.876,1.212,0.93186,0.82692,0.59836,0.67987,0.54408,0.74332,1.05645,0.91211,4.11796e-05,4.11796e-05,4.11796e-05
39,18359.2,0.8604,1.19521,0.93173,0.85189,0.58927,0.68469,0.5492,0.74097,1.02938,0.91644,3.81304e-05,3.81304e-05,3.81304e-05
40,18865.2,0.88676,1.24858,0.93599,0.8328,0.60521,0.69059,0.55075,0.73959,1.03588,0.91452,3.50812e-05,3.50812e-05,3.50812e-05
41,19340.6,0.83501,1.14584,0.92934,0.85506,0.60155,0.69182,0.55191,0.74694,1.06157,0.91759,3.2032e-05,3.2032e-05,3.2032e-05
42,19828.6,0.82786,1.12236,0.92841,0.84338,0.60398,0.69949,0.55616,0.7418,1.03535,0.91573,2.89828e-05,2.89828e-05,2.89828e-05
43,20328.2,0.81745,1.09721,0.91867,0.86101,0.60364,0.70359,0.55846,0.73644,1.01442,0.9128,2.59336e-05,2.59336e-05,2.59336e-05
44,20832.3,0.82722,1.0943,0.92423,0.85267,0.59997,0.70623,0.56342,0.73401,1.00203,0.91325,2.28844e-05,2.28844e-05,2.28844e-05
45,21336.8,0.81933,1.08097,0.9243,0.83791,0.62008,0.70753,0.56268,0.73489,1.00075,0.91122,1.98352e-05,1.98352e-05,1.98352e-05
46,21802.4,0.82534,1.09902,0.92303,0.80573,0.62722,0.70455,0.56122,0.73854,1.00916,0.91232,1.6786e-05,1.6786e-05,1.6786e-05
47,22300.7,0.80436,1.0762,0.91776,0.85146,0.6056,0.7064,0.56137,0.73321,0.9975,0.91321,1.37368e-05,1.37368e-05,1.37368e-05
48,22792.3,0.80877,1.05967,0.9196,0.85574,0.60731,0.70541,0.56527,0.73352,1.00306,0.91215,1.06876e-05,1.06876e-05,1.06876e-05
49,23286.2,0.81012,1.05814,0.92145,0.84633,0.61213,0.70695,0.5667,0.73242,0.99919,0.9118,7.6384e-06,7.6384e-06,7.6384e-06
50,23814.4,0.81203,1.05605,0.92173,0.83495,0.61507,0.70944,0.56835,0.73052,0.9973,0.91191,4.5892e-06,4.5892e-06,4.5892e-06
