epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,13541.1,1.15499,1.6191,1.0281,0.67672,0.38492,0.40722,0.29939,1.06724,1.60175,1.00402,3.66758e-05,3.66758e-05,3.66758e-05
41,13938.5,1.07794,1.47925,1.02596,0.67703,0.39853,0.40039,0.29532,1.06989,1.64965,1.00402,3.3488e-05,3.3488e-05,3.3488e-05
42,14320.9,1.0923,1.52242,1.02335,0.65898,0.40692,0.41594,0.3051,1.06968,1.61063,1.00595,3.03002e-05,3.03002e-05,3.03002e-05
43,14700.3,1.08082,1.46162,1.02353,0.69974,0.37923,0.41623,0.30392,1.06671,1.58854,1.00527,2.71124e-05,2.71124e-05,2.71124e-05
44,15086,1.09943,1.48056,1.02771,0.66414,0.39131,0.41707,0.30366,1.06233,1.58899,1.00131,2.39246e-05,2.39246e-05,2.39246e-05
45,15471.2,1.09583,1.48002,1.01942,0.65144,0.4042,0.41321,0.30059,1.0619,1.58275,1.00303,2.07368e-05,2.07368e-05,2.07368e-05
46,15850.5,1.08686,1.47007,1.02241,0.68163,0.39274,0.42488,0.31132,1.05838,1.57115,1.00399,1.7549e-05,1.7549e-05,1.7549e-05
47,16235.7,1.0892,1.47345,1.01734,0.69151,0.39375,0.43591,0.31909,1.06018,1.5683,1.00322,1.43612e-05,1.43612e-05,1.43612e-05
48,16629,1.08794,1.45173,1.0255,0.71762,0.39722,0.43819,0.31941,1.06135,1.55878,1.00435,1.11734e-05,1.11734e-05,1.11734e-05
49,17022.3,1.08004,1.43771,1.02803,0.71779,0.3949,0.43889,0.32006,1.06199,1.55781,1.00447,7.9856e-06,7.9856e-06,7.9856e-06
50,17408.1,1.07279,1.43205,1.01437,0.71097,0.39885,0.43831,0.32075,1.06164,1.55578,1.00423,4.7978e-06,4.7978e-06,4.7978e-06
